Vendor_ID,Vendor_Name,Vendor_Type,Primary_Category,Country,City,Lead_Time_Days,Vendor_Rating,Quality_Score,On_Time_Delivery_Percentage,Payment_Terms,Preferred_Vendor,Contract_Start_Date,Contract_End_Date,Currency,Minimum_Order_Value,GST_Number,Vendor_Status
V001,3M India,Manufacturer,PPE,India,Bengaluru,7,4.8,99.5,98.5,Net 30,Yes,2023-01-01,2027-12-31,INR,50000,GST01ABCDE1234F1Z2,Active
V002,Honeywell,Manufacturer,PPE,India,Pune,10,4.7,99.1,97.2,Net 45,Yes,2023-01-01,2027-12-31,INR,75000,GST02ABCDE1234F1Z3,Active
V003,Becton Dickinson,Manufacturer,Consumables,India,Gurugram,5,4.9,94.5,99.1,Net 30,Yes,2023-01-01,2027-12-31,INR,40000,GST03ABCDE1234F1Z4,Active
V004,Baxter India,Manufacturer,Consumables,India,Ahmedabad,6,4.8,95.6,98.0,Net 45,Yes,2023-01-01,2027-12-31,INR,50000,GST04ABCDE1234F1Z5,Active
V005,Philips Healthcare,Manufacturer,Equipment,Netherlands,Amsterdam,21,4.9,98.9,96.4,Net 60,Yes,2023-01-01,2027-12-31,EUR,500000,GST05ABCDE1234F1Z6,Active
V006,GE HealthCare,Manufacturer,Equipment,USA,Chicago,18,4.8,94.3,97.8,Net 60,Yes,2023-01-01,2027-12-31,USD,450000,GST06ABCDE1234F1Z7,Active
V007,Siemens Healthineers,Manufacturer,Equipment,Germany,Erlangen,25,4.9,98.0,96.9,Net 60,Yes,2023-01-01,2027-12-31,EUR,600000,GST07ABCDE1234F1Z8,Active
V008,Drager,Manufacturer,Equipment,Germany,Lubeck,22,4.8,95.6,97.1,Net 60,Yes,2023-01-01,2027-12-31,EUR,400000,GST08ABCDE1234F1Z9,Active
V009,Abbott,Manufacturer,Diagnostics,USA,Chicago,12,4.7,99.4,98.4,Net 45,Yes,2023-01-01,2027-12-31,USD,100000,GST09ABCDE1234F1Z1,Active
V010,Thermo Fisher,Manufacturer,Laboratory,USA,Waltham,14,4.8,94.1,98.2,Net 45,Yes,2023-01-01,2027-12-31,USD,120000,GST10ABCDE1234F1Z2,Active
V011,Johnson & Johnson MedTech,Manufacturer,Implants,USA,New Brunswick,15,4.9,98.4,99.0,Net 60,Yes,2023-01-01,2027-12-31,USD,300000,GST11ABCDE1234F1Z3,Active
V012,Stryker,Manufacturer,Implants,USA,Kalamazoo,16,4.8,95.9,98.6,Net 60,Yes,2023-01-01,2027-12-31,USD,250000,GST12ABCDE1234F1Z4,Active
