Product_ID,SKU,Product_Name,Category,Subcategory,Brand,Manufacturer,Unit,Unit_Cost,Reorder_Level,Safety_Stock,Shelf_Life_Months,Storage_Type,Critical_Item,Disposable
P0001,SKU-00001,Syringe 5ml,Consumables,Syringes,BD,Becton Dickinson,Piece,19.22,186,16,60,Room Temperature,No,Yes
P0002,SKU-00002,N95 Mask,PPE,Masks,Honeywell,Honeywell,Box,1621.27,113,84,12,Room Temperature,No,Yes
P0003,SKU-00003,Surgical Mask,PPE,Masks,3M,3M,Box,754.85,29,21,24,Room Temperature,No,Yes
P0004,SKU-00004,Patient Monitor,Equipment,Monitoring,Philips,Philips,Unit,216179.59,81,21,0,Equipment Room,Yes,No
P0005,SKU-00005,Ventilator,Equipment,Monitoring,Drager,Drager,Unit,1051874.95,164,25,0,Equipment Room,Yes,No
P0006,SKU-00006,IV Cannula,Consumables,IV,BD,Becton Dickinson,Piece,57.84,167,84,12,Room Temperature,Yes,Yes
P0007,SKU-00007,Patient Monitor,Equipment,Monitoring,Philips,Philips,Unit,131405.54,76,15,0,Equipment Room,Yes,No
P0008,SKU-00008,Ventilator,Equipment,Monitoring,Drager,Drager,Unit,1616009.0,94,63,0,Equipment Room,Yes,No
P0009,SKU-00009,Latex Gloves,PPE,Gloves,Medline,Medline,Box,601.45,163,97,36,Room Temperature,No,Yes
P0010,SKU-00010,Latex Gloves,PPE,Gloves,Medline,Medline,Box,316.99,115,22,24,Room Temperature,No,Yes
P0011,SKU-00011,Ventilator,Equipment,Monitoring,Drager,Drager,Unit,1425744.0,164,17,0,Equipment Room,Yes,No
P0012,SKU-00012,MRI Scanner,Equipment,Imaging,Siemens,Siemens Healthineers,Unit,8089380.69,194,78,0,Equipment Room,No,No
P0013,SKU-00013,Patient Monitor,Equipment,Monitoring,Philips,Philips,Unit,298762.62,139,84,0,Equipment Room,Yes,No
P0014,SKU-00014,ECG Machine,Equipment,Monitoring,GE,GE Healthcare,Unit,141469.0,83,33,0,Equipment Room,No,No
P0015,SKU-00015,Amoxicillin,Medicines,Antibiotics,Pfizer,Pfizer,Strip,244.96,167,48,12,Pharmacy,No,Yes
P0016,SKU-00016,Ventilator,Equipment,Monitoring,Drager,Drager,Unit,1143651.27,107,67,0,Equipment Room,Yes,No
P0017,SKU-00017,IV Drip Set,Consumables,IV,Baxter,Baxter,Piece,88.72,50,75,12,Room Temperature,Yes,Yes
P0018,SKU-00018,Patient Monitor,Equipment,Monitoring,Philips,Philips,Unit,157941.28,107,29,0,Equipment Room,Yes,No
P0019,SKU-00019,ECG Machine,Equipment,Monitoring,GE,GE Healthcare,Unit,151688.72,191,19,0,Equipment Room,No,No
P0020,SKU-00020,COVID Test Kit,Diagnostics,Rapid Tests,Abbott,Abbott,Kit,401.13,107,98,36,Room Temperature,No,Yes
P0021,SKU-00021,Syringe 5ml,Consumables,Syringes,BD,Becton Dickinson,Piece,13.92,37,21,60,Room Temperature,No,Yes
P0022,SKU-00022,IV Drip Set,Consumables,IV,Baxter,Baxter,Piece,77.93,35,99,12,Room Temperature,Yes,Yes
P0023,SKU-00023,IV Drip Set,Consumables,IV,Baxter,Baxter,Piece,91.77,92,59,60,Room Temperature,Yes,Yes
P0024,SKU-00024,Paracetamol,Medicines,Analgesics,Cipla,Cipla,Strip,37.56,110,31,60,Pharmacy,No,Yes
P0025,SKU-00025,MRI Scanner,Equipment,Imaging,Siemens,Siemens Healthineers,Unit,6756436.92,35,37,0,Equipment Room,No,No
P0026,SKU-00026,COVID Test Kit,Diagnostics,Rapid Tests,Abbott,Abbott,Kit,279.34,121,60,24,Room Temperature,No,Yes
P0027,SKU-00027,Blood Collection Tube,Laboratory,Lab Consumables,Thermo Fisher,Thermo Fisher,Piece,14.93,134,61,24,Room Temperature,No,Yes
P0028,SKU-00028,Ventilator,Equipment,Monitoring,Drager,Drager,Unit,861190.87,55,65,0,Equipment Room,Yes,No
P0029,SKU-00029,Blood Collection Tube,Laboratory,Lab Consumables,Thermo Fisher,Thermo Fisher,Piece,16.0,111,97,60,Room Temperature,No,Yes
P0030,SKU-00030,Patient Monitor,Equipment,Monitoring,Philips,Philips,Unit,340278.18,58,20,0,Equipment Room,Yes,No
