Department_ID,Hospital_ID,Hospital_Name,Department_Name,Cost_Center,Floor,Bed_Capacity,Operating_Hours,Critical_Department,Department_Type
D0001,H001,MedCare Bangalore,Emergency,CC1001,1,120,24x7,Yes,Clinical
D0002,H001,MedCare Bangalore,ICU,CC1002,2,80,24x7,Yes,Clinical
D0003,H001,MedCare Bangalore,General Ward,CC1003,3,250,24x7,No,Clinical
D0004,H001,MedCare Bangalore,Orthopedics,CC1004,4,70,08:00-20:00,No,Clinical
D0005,H001,MedCare Bangalore,Cardiology,CC1005,5,60,24x7,Yes,Clinical
D0006,H001,MedCare Bangalore,Neurology,CC1006,6,50,24x7,Yes,Clinical
D0007,H001,MedCare Bangalore,Radiology,CC1007,1,40,24x7,Yes,Clinical Support
D0008,H001,MedCare Bangalore,Oncology,CC1008,5,55,08:00-20:00,Yes,Clinical
D0009,H001,MedCare Bangalore,Pharmacy,CC1009,1,0,24x7,Yes,Clinical Support
D0010,H001,MedCare Bangalore,Operating Theatre,CC1010,2,20,24x7,Yes,Clinical
D0011,H001,MedCare Bangalore,Pediatrics,CC1011,3,65,24x7,No,Clinical
D0012,H001,MedCare Bangalore,Gynecology,CC1012,4,60,24x7,No,Clinical
D0013,H001,MedCare Bangalore,Nephrology,CC1013,5,45,24x7,Yes,Clinical
D0014,H001,MedCare Bangalore,Laboratory,CC1014,1,0,24x7,Yes,Clinical Support
D0015,H001,MedCare Bangalore,Dermatology,CC1015,2,30,09:00-18:00,No,Clinical
D0016,H001,MedCare Bangalore,ENT,CC1016,3,25,09:00-18:00,No,Clinical
D0017,H001,MedCare Bangalore,Pulmonology,CC1017,4,50,24x7,Yes,Clinical
D0018,H001,MedCare Bangalore,Administration,CC1018,6,0,09:00-18:00,No,Non-Clinical
D0019,H001,MedCare Bangalore,Procurement,CC1019,6,0,09:00-18:00,No,Non-Clinical
D0020,H001,MedCare Bangalore,Maintenance,CC1020,-1,0,24x7,No,Non-Clinical
D0021,H002,MedCare Chennai,Emergency,CC1001,1,120,24x7,Yes,Clinical
D0022,H002,MedCare Chennai,ICU,CC1002,2,80,24x7,Yes,Clinical
D0023,H002,MedCare Chennai,General Ward,CC1003,3,250,24x7,No,Clinical
